-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature
-- table       	main
-- field 1	id
-- field 2	type
-- field 3	name
-- field 4	contig
-- field 5	start_pos
-- field 6	end_pos
-- field 7	strand
-- field 8	description
-- field 9	chrom_position
-- field 10	organism
-- field 11	GeneID
-- header
-- id	type	name	contig	start_pos	end_pos	strand	description	chrom_position	organism	GeneID
83333000001	SEQ_END	SEQ_END	NC_000913.2	4639675	4639675	DR	NC_000913.2; contig end	4639675..4639675	Escherichia coli K12	<NULL_VALUE>
NP_414559.1	CDS	mokC	NC_000913.2	16751	16960	R	regulatory protein for HokC, overlaps CDS of hokC	complement(16751..16960)	Escherichia coli K12	944756
YP_025292.1	CDS	hokC	NC_000913.2	16751	16903	R	toxic membrane protein, small	complement(16751..16903)	Escherichia coli K12	2847744
NP_414560.1	CDS	nhaA	NC_000913.2	17489	18655	D	sodium-proton antiporter	17489..18655	Escherichia coli K12	944758
NP_414561.1	CDS	nhaR	NC_000913.2	18715	19620	D	DNA-binding transcriptional activator	18715..19620	Escherichia coli K12	944757
NP_414562.1	CDS	insB	NC_000913.2	19811	20314	R	IS1 transposase InsAB'	complement(19811..20314)	Escherichia coli K12	944743
NP_414563.1	CDS	insA	NC_000913.2	20233	20508	R	KpLE2 phage-like element; IS1 repressor protein InsA	complement(20233..20508)	Escherichia coli K12	948449
NP_414564.1	CDS	rpsT	NC_000913.2	20815	21078	R	30S ribosomal subunit protein S20	complement(20815..21078)	Escherichia coli K12	944759
NP_414565.1	CDS	yaaY	NC_000913.2	21181	21399	D	predicted protein	21181..21399	Escherichia coli K12	949128
NP_414566.1	CDS	ribF	NC_000913.2	21407	22348	D	bifunctional riboflavin kinase/FAD synthetase	21407..22348	Escherichia coli K12	949129
NP_414567.1	CDS	ileS	NC_000913.2	22391	25207	D	isoleucyl-tRNA synthetase	22391..25207	Escherichia coli K12	944761
NP_414568.1	CDS	lspA	NC_000913.2	25207	25701	D	prolipoprotein signal peptidase (signal peptidase II)	25207..25701	Escherichia coli K12	944800
NP_414569.1	CDS	fkpB	NC_000913.2	25826	26275	D	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	25826..26275	Escherichia coli K12	944807
NP_414570.1	CDS	ispH	NC_000913.2	26277	27227	D	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	26277..27227	Escherichia coli K12	944777
NP_414571.1	CDS	rihC	NC_000913.2	27293	28207	D	ribonucleoside hydrolase 3	27293..28207	Escherichia coli K12	944796
NP_414572.1	CDS	dapB	NC_000913.2	28374	29195	D	dihydrodipicolinate reductase	28374..29195	Escherichia coli K12	944762
NP_414573.1	CDS	carA	NC_000913.2	29651	30799	D	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	29651..30799	Escherichia coli K12	949025
NP_414574.1	CDS	carB	NC_000913.2	30817	34038	D	carbamoyl-phosphate synthase large subunit	30817..34038	Escherichia coli K12	944775
NP_414576.4	CDS	caiF	NC_000913.2	34300	34695	D	DNA-binding transcriptional activator	34300..34695	Escherichia coli K12	944795
NP_414577.2	CDS	caiE	NC_000913.2	34781	35371	R	predicted acyl transferase	complement(34781..35371)	Escherichia coli K12	948999
NP_414578.1	CDS	caiD	NC_000913.2	35377	36270	R	crotonobetainyl CoA hydratase	complement(35377..36270)	Escherichia coli K12	948995
NP_414579.3	CDS	caiC	NC_000913.2	36271	37839	R	predicted crotonobetaine CoA ligase:carnitine CoA ligase	complement(36271..37839)	Escherichia coli K12	944886
NP_414580.1	CDS	caiB	NC_000913.2	37898	39115	R	crotonobetainyl CoA:carnitine CoA transferase	complement(37898..39115)	Escherichia coli K12	948997
NP_414581.1	CDS	caiA	NC_000913.2	39244	40386	R	crotonobetaine reductase subunit II, FAD-binding	complement(39244..40386)	Escherichia coli K12	949064
NP_414582.1	CDS	caiT	NC_000913.2	40417	41931	R	predicted transporter	complement(40417..41931)	Escherichia coli K12	944765
NP_414583.2	CDS	fixA	NC_000913.2	42403	43173	D	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	42403..43173	Escherichia coli K12	947316
NP_414584.1	CDS	fixB	NC_000913.2	43188	44129	D	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	43188..44129	Escherichia coli K12	948939
NP_414585.1	CDS	fixC	NC_000913.2	44180	45466	D	predicted oxidoreductase with FAD/NAD(P)-binding domain	44180..45466	Escherichia coli K12	948958
NP_414586.1	CDS	fixX	NC_000913.2	45463	45750	D	predicted 4Fe-4S ferredoxin-type protein	45463..45750	Escherichia coli K12	948590
NP_414587.1	CDS	yaaU	NC_000913.2	45807	47138	D	predicted transporter	45807..47138	Escherichia coli K12	944766
NP_414588.1	CDS	kefF	NC_000913.2	47246	47776	D	flavoprotein subunit for the KefC potassium efflux system	47246..47776	Escherichia coli K12	944767
NP_414589.1	CDS	kefC	NC_000913.2	47769	49631	D	potassium:proton antiporter	47769..49631	Escherichia coli K12	944773
NP_414590.1	CDS	folA	NC_000913.2	49823	50302	D	dihydrofolate reductase	49823..50302	Escherichia coli K12	944790
NP_414591.1	CDS	apaH	NC_000913.2	50380	51222	R	diadenosine tetraphosphatase	complement(50380..51222)	Escherichia coli K12	944770
NP_414592.1	CDS	apaG	NC_000913.2	51229	51606	R	protein associated with Co2+ and Mg2+ efflux	complement(51229..51606)	Escherichia coli K12	944772
NP_414593.1	CDS	ksgA	NC_000913.2	51609	52430	R	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	complement(51609..52430)	Escherichia coli K12	944939
NP_414594.1	CDS	pdxA	NC_000913.2	52427	53416	R	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	complement(52427..53416)	Escherichia coli K12	944919
NP_414595.1	CDS	surA	NC_000913.2	53416	54702	R	peptidyl-prolyl cis-trans isomerase (PPIase)	complement(53416..54702)	Escherichia coli K12	944812
NP_414596.1	CDS	imp	NC_000913.2	54755	57109	R	exported protein required for envelope biosynthesis and integrity	complement(54755..57109)	Escherichia coli K12	945011
NP_414597.1	CDS	djlA	NC_000913.2	57364	58179	D	DnaJ-like protein, membrane anchored	57364..58179	Escherichia coli K12	948992
b4659	CDS	yabP	NC_000913.2	58474	59269	D	b4659	join(58474..59052,59052..59228,59228..59269)	Escherichia coli K12	944776
NP_414600.1	CDS	rluA	NC_000913.2	59687	60346	R	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	complement(59687..60346)	Escherichia coli K12	946262
NP_414601.1	CDS	hepA	NC_000913.2	60358	63264	R	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	complement(60358..63264)	Escherichia coli K12	948523
NP_414602.1	CDS	polB	NC_000913.2	63429	65780	R	DNA polymerase II	complement(63429..65780)	Escherichia coli K12	944779
NP_414603.1	CDS	araD	NC_000913.2	65855	66550	R	L-ribulose-5-phosphate 4-epimerase	complement(65855..66550)	Escherichia coli K12	945294
NP_414604.1	CDS	araA	NC_000913.2	66835	68337	R	L-arabinose isomerase	complement(66835..68337)	Escherichia coli K12	947511
NP_414605.1	CDS	araB	NC_000913.2	68348	70048	R	L-ribulokinase	complement(68348..70048)	Escherichia coli K12	946017
NP_414606.1	CDS	araC	NC_000913.2	70387	71265	D	DNA-binding transcriptional dual regulator	70387..71265	Escherichia coli K12	944780
NP_414607.1	CDS	yabI	NC_000913.2	71351	72115	D	conserved inner membrane protein	71351..72115	Escherichia coli K12	944783
NP_414608.1	CDS	thiQ	NC_000913.2	72229	72927	R	thiamin transporter subunit	complement(72229..72927)	Escherichia coli K12	944785
NP_414609.1	CDS	thiP	NC_000913.2	72911	74521	R	fused thiamin transporter subunits of ABC superfamily: membrane components	complement(72911..74521)	Escherichia coli K12	944784
NP_414610.1	CDS	tbpA	NC_000913.2	74497	75480	R	thiamin transporter subunit	complement(74497..75480)	Escherichia coli K12	946306
NP_414611.1	CDS	sgrR	NC_000913.2	75644	77299	R	DNA-binding transcriptional regulator	complement(75644..77299)	Escherichia coli K12	944788
YP_025293.1	CDS	setA	NC_000913.2	77621	78799	D	broad specificity sugar efflux system	77621..78799	Escherichia coli K12	944793
NP_414613.1	CDS	leuD	NC_000913.2	78848	79453	R	3-isopropylmalate isomerase subunit	complement(78848..79453)	Escherichia coli K12	945642
NP_414614.1	CDS	leuC	NC_000913.2	79464	80864	R	3-isopropylmalate isomerase subunit, dehydratase component	complement(79464..80864)	Escherichia coli K12	945076
NP_414615.4	CDS	leuB	NC_000913.2	80867	81958	R	3-isopropylmalate dehydrogenase	complement(80867..81958)	Escherichia coli K12	944798
NP_414616.1	CDS	leuA	NC_000913.2	81958	83529	R	2-isopropylmalate synthase	complement(81958..83529)	Escherichia coli K12	947465
NP_414617.1	CDS	leuL	NC_000913.2	83622	83708	R	leu operon leader peptide	complement(83622..83708)	Escherichia coli K12	946072
NP_414618.4	CDS	leuO	NC_000913.2	84368	85312	D	DNA-binding transcriptional activator	84368..85312	Escherichia coli K12	949034
YP_025294.2	CDS	ilvI	NC_000913.2	85630	87354	D	acetolactate synthase III, large subunit	85630..87354	Escherichia coli K12	948793
NP_414620.1	CDS	ilvH	NC_000913.2	87357	87848	D	acetolactate synthase III, thiamin-dependent, small subunit	87357..87848	Escherichia coli K12	947267
NP_414622.1	CDS	fruR	NC_000913.2	88028	89032	D	DNA-binding transcriptional dual regulator	88028..89032	Escherichia coli K12	944804
NP_414623.1	CDS	mraZ	NC_000913.2	89634	90092	D	conserved protein	89634..90092	Escherichia coli K12	944810
NP_414624.1	CDS	mraW	NC_000913.2	90094	91035	D	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	90094..91035	Escherichia coli K12	944806
NP_414625.1	CDS	ftsL	NC_000913.2	91032	91397	D	membrane bound cell division protein at septum containing leucine zipper motif	91032..91397	Escherichia coli K12	944803
NP_414626.1	CDS	ftsI	NC_000913.2	91413	93179	D	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	91413..93179	Escherichia coli K12	944799
NP_414627.1	CDS	murE	NC_000913.2	93166	94653	D	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	93166..94653	Escherichia coli K12	944791
NP_414628.1	CDS	murF	NC_000913.2	94650	96008	D	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	94650..96008	Escherichia coli K12	944813
NP_414629.1	CDS	mraY	NC_000913.2	96002	97084	D	phospho-N-acetylmuramoyl-pentapeptide transferase	96002..97084	Escherichia coli K12	944814
NP_414630.1	CDS	murD	NC_000913.2	97087	98403	D	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	97087..98403	Escherichia coli K12	944818
NP_414631.1	CDS	ftsW	NC_000913.2	98403	99647	D	integral membrane protein involved in stabilizing FstZ ring during cell division	98403..99647	Escherichia coli K12	946322
NP_414632.1	CDS	murG	NC_000913.2	99644	100711	D	N-acetylglucosaminyl transferase	99644..100711	Escherichia coli K12	946321
NP_414633.1	CDS	murC	NC_000913.2	100765	102240	D	UDP-N-acetylmuramate:L-alanine ligase	100765..102240	Escherichia coli K12	946153
NP_414634.1	CDS	ddlB	NC_000913.2	102233	103153	D	D-alanine:D-alanine ligase	102233..103153	Escherichia coli K12	946324
NP_414635.1	CDS	ftsQ	NC_000913.2	103155	103985	D	membrane anchored protein involved in growth of wall at septum	103155..103985	Escherichia coli K12	944823
NP_414636.1	CDS	ftsA	NC_000913.2	103982	105244	D	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	103982..105244	Escherichia coli K12	944778
NP_414637.1	CDS	ftsZ	NC_000913.2	105305	106456	D	GTP-binding tubulin-like cell division protein	105305..106456	Escherichia coli K12	944786
NP_414638.1	CDS	lpxC	NC_000913.2	106557	107474	D	UDP-3-O-acyl N-acetylglucosamine deacetylase	106557..107474	Escherichia coli K12	944816
NP_414639.2	CDS	secM	NC_000913.2	107705	108217	D	regulator of secA translation	107705..108217	Escherichia coli K12	944831
NP_414640.1	CDS	secA	NC_000913.2	108279	110984	D	preprotein translocase subunit, ATPase	108279..110984	Escherichia coli K12	944821
NP_414641.1	CDS	mutT	NC_000913.2	111044	111433	D	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	111044..111433	Escherichia coli K12	944824
NP_414643.1	CDS	yacG	NC_000913.2	111649	111846	R	conserved protein	complement(111649..111846)	Escherichia coli K12	945630
NP_414644.1	CDS	yacF	NC_000913.2	111856	112599	R	conserved protein	complement(111856..112599)	Escherichia coli K12	944873
NP_414645.1	CDS	coaE	NC_000913.2	112599	113219	R	dephospho-CoA kinase	complement(112599..113219)	Escherichia coli K12	949060
NP_414646.1	CDS	guaC	NC_000913.2	113444	114487	D	GMP reductase	113444..114487	Escherichia coli K12	948986
NP_414648.1	CDS	hofC	NC_000913.2	114522	115724	R	assembly protein in type IV pilin biogenesis, transmembrane protein	complement(114522..115724)	Escherichia coli K12	945806
NP_414649.1	CDS	hofB	NC_000913.2	115714	117099	R	conserved protein with nucleoside triphosphate hydrolase domain	complement(115714..117099)	Escherichia coli K12	947481
NP_414650.1	CDS	ppdD	NC_000913.2	117109	117549	R	predicted major pilin subunit	complement(117109..117549)	Escherichia coli K12	945817
NP_414651.1	CDS	nadC	NC_000913.2	117752	118645	R	quinolinate phosphoribosyltransferase	complement(117752..118645)	Escherichia coli K12	948869
NP_414652.1	CDS	ampD	NC_000913.2	118733	119284	D	N-acetyl-anhydromuranmyl-L-alanine amidase	118733..119284	Escherichia coli K12	948877
NP_414653.1	CDS	ampE	NC_000913.2	119281	120135	D	predicted inner membrane protein	119281..120135	Escherichia coli K12	946678
NP_414654.1	CDS	aroP	NC_000913.2	120178	121551	R	aromatic amino acid transporter	complement(120178..121551)	Escherichia coli K12	946018
NP_414655.1	CDS	pdhR	NC_000913.2	122092	122856	D	DNA-binding transcriptional dual regulator	122092..122856	Escherichia coli K12	944827
NP_414656.1	CDS	aceE	NC_000913.2	123017	125680	D	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	123017..125680	Escherichia coli K12	944834
NP_414657.1	CDS	aceF	NC_000913.2	125695	127587	D	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	125695..127587	Escherichia coli K12	944794
NP_414658.1	CDS	lpd	NC_000913.2	127912	129336	D	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	127912..129336	Escherichia coli K12	944854
NP_414659.1	CDS	yacH	NC_000913.2	129407	131260	R	predicted protein	complement(129407..131260)	Escherichia coli K12	944868
NP_414660.1	CDS	acnB	NC_000913.2	131615	134212	D	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	131615..134212	Escherichia coli K12	944864
NP_414661.2	CDS	yacL	NC_000913.2	134388	134750	D	conserved protein	134388..134750	Escherichia coli K12	944809
NP_414662.1	CDS	speD	NC_000913.2	134788	135582	R	S-adenosylmethionine decarboxylase	complement(134788..135582)	Escherichia coli K12	947719
NP_414663.1	CDS	speE	NC_000913.2	135598	136464	R	spermidine synthase (putrescine aminopropyltransferase)	complement(135598..136464)	Escherichia coli K12	947726
NP_414664.4	CDS	yacC	NC_000913.2	136570	136917	R	predicted protein	complement(136570..136917)	Escherichia coli K12	948472
NP_414665.1	CDS	cueO	NC_000913.2	137083	138633	D	multicopper oxidase (laccase)	137083..138633	Escherichia coli K12	947736
NP_414666.1	CDS	gcd	NC_000913.2	138835	141225	R	glucose dehydrogenase	complement(138835..141225)	Escherichia coli K12	944830
NP_414667.4	CDS	hpt	NC_000913.2	141431	141967	D	hypoxanthine phosphoribosyltransferase	141431..141967	Escherichia coli K12	946624
NP_414668.1	CDS	can	NC_000913.2	142008	142670	R	carbonic anhydrase	complement(142008..142670)	Escherichia coli K12	944832
NP_414669.1	CDS	yadG	NC_000913.2	142779	143705	D	predicted transporter subunit: ATP-binding component of ABC superfamily	142779..143705	Escherichia coli K12	944833
NP_414670.1	CDS	yadH	NC_000913.2	143702	144472	D	predicted transporter subunit: membrane component of ABC superfamily	143702..144472	Escherichia coli K12	944836
NP_414671.1	CDS	yadI	NC_000913.2	144577	145017	D	predicted PTS Enzyme IIA	144577..145017	Escherichia coli K12	947397
NP_414672.1	CDS	yadE	NC_000913.2	145081	146310	D	predicted polysaccharide deacetylase lipoprotein	145081..146310	Escherichia coli K12	946536
NP_414673.1	CDS	panD	NC_000913.2	146314	146694	R	aspartate 1-decarboxylase	complement(146314..146694)	Escherichia coli K12	945686
NP_414674.1	CDS	yadD	NC_000913.2	146968	147870	D	predicted transposase	146968..147870	Escherichia coli K12	944781
NP_414675.1	CDS	panC	NC_000913.2	147944	148795	R	pantothenate synthetase	complement(147944..148795)	Escherichia coli K12	944958
NP_414676.1	CDS	panB	NC_000913.2	148807	149601	R	3-methyl-2-oxobutanoate hydroxymethyltransferase	complement(148807..149601)	Escherichia coli K12	944839
NP_414677.1	CDS	yadC	NC_000913.2	149715	150953	R	predicted fimbrial-like adhesin protein	complement(149715..150953)	Escherichia coli K12	944837
NP_414678.1	CDS	yadK	NC_000913.2	151003	151599	R	predicted fimbrial-like adhesin protein	complement(151003..151599)	Escherichia coli K12	944835
NP_414679.1	CDS	yadL	NC_000913.2	151626	152231	R	predicted fimbrial-like adhesin protein	complement(151626..152231)	Escherichia coli K12	944829
NP_414680.4	CDS	yadM	NC_000913.2	152243	152812	R	predicted fimbrial-like adhesin protein	complement(152243..152812)	Escherichia coli K12	944828
NP_414681.1	CDS	htrE	NC_000913.2	152829	155426	R	predicted outer membrane usher protein	complement(152829..155426)	Escherichia coli K12	944819
NP_414682.1	CDS	ecpD	NC_000913.2	155461	156201	R	predicted periplasmic pilin chaperone	complement(155461..156201)	Escherichia coli K12	944859
NP_414683.1	CDS	yadN	NC_000913.2	156299	156883	R	predicted fimbrial-like adhesin protein	complement(156299..156883)	Escherichia coli K12	944841
NP_414684.1	CDS	folK	NC_000913.2	157253	157732	R	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	complement(157253..157732)	Escherichia coli K12	948792
NP_414685.4	CDS	pcnB	NC_000913.2	157729	159126	R	poly(A) polymerase I	complement(157729..159126)	Escherichia coli K12	947318
NP_414686.2	CDS	yadB	NC_000913.2	159186	160082	R	glutamyl-Q tRNA(Asp) synthetase	complement(159186..160082)	Escherichia coli K12	944846
NP_414687.1	CDS	dksA	NC_000913.2	160149	160604	R	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	complement(160149..160604)	Escherichia coli K12	944850
NP_414688.1	CDS	sfsA	NC_000913.2	160782	161486	R	predicted DNA-binding transcriptional regulator	complement(160782..161486)	Escherichia coli K12	944855
NP_414689.4	CDS	ligT	NC_000913.2	161501	162031	R	2'-5' RNA ligase	complement(161501..162031)	Escherichia coli K12	944848
NP_414690.4	CDS	hrpB	NC_000913.2	162105	164534	D	predicted ATP-dependent helicase	162105..164534	Escherichia coli K12	944845
NP_414691.1	CDS	mrcB	NC_000913.2	164730	167264	D	fused glycosyl transferase and transpeptidase	164730..167264	Escherichia coli K12	944843
NP_414692.1	CDS	fhuA	NC_000913.2	167484	169727	D	ferrichrome outer membrane transporter	167484..169727	Escherichia coli K12	944856
NP_414693.1	CDS	fhuC	NC_000913.2	169778	170575	D	iron-hydroxamate transporter subunit	169778..170575	Escherichia coli K12	945250
NP_414694.1	CDS	fhuD	NC_000913.2	170575	171465	D	iron-hydroxamate transporter subunit	170575..171465	Escherichia coli K12	947510
NP_414695.1	CDS	fhuB	NC_000913.2	171462	173444	D	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	171462..173444	Escherichia coli K12	946890
NP_414696.1	CDS	hemL	NC_000913.2	173602	174882	R	glutamate-1-semialdehyde aminotransferase (aminomutase)	complement(173602..174882)	Escherichia coli K12	946892
NP_414697.1	CDS	clcA	NC_000913.2	175107	176528	D	chloride channel, voltage-gated	175107..176528	Escherichia coli K12	946715
NP_414698.1	CDS	yadR	NC_000913.2	176610	176954	D	conserved protein	176610..176954	Escherichia coli K12	944857
NP_414699.1	CDS	yadS	NC_000913.2	177001	177624	R	conserved inner membrane protein	complement(177001..177624)	Escherichia coli K12	949062
NP_414700.1	CDS	btuF	NC_000913.2	177662	178462	R	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	complement(177662..178462)	Escherichia coli K12	947574
NP_414701.1	CDS	mtn	NC_000913.2	178455	179153	R	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	complement(178455..179153)	Escherichia coli K12	948542
NP_414702.1	CDS	dgt	NC_000913.2	179237	180754	D	deoxyguanosine triphosphate triphosphohydrolase	179237..180754	Escherichia coli K12	947177
NP_414703.1	CDS	degP	NC_000913.2	180884	182308	D	serine endoprotease (protease Do), membrane-associated	180884..182308	Escherichia coli K12	947139
NP_414704.4	CDS	cdaR	NC_000913.2	182463	183620	D	DNA-binding transcriptional activator	182463..183620	Escherichia coli K12	944860
NP_414705.1	CDS	yaeH	NC_000913.2	183709	184095	R	conserved protein	complement(183709..184095)	Escherichia coli K12	947044
NP_414706.2	CDS	yaeI	NC_000913.2	184257	185069	R	predicted phosphatase	complement(184257..185069)	Escherichia coli K12	945002
NP_414708.1	CDS	dapD	NC_000913.2	185123	185947	R	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	complement(185123..185947)	Escherichia coli K12	944862
NP_414709.1	CDS	glnD	NC_000913.2	185978	188650	R	uridylyltransferase	complement(185978..188650)	Escherichia coli K12	944863
NP_414710.1	CDS	map	NC_000913.2	188712	189506	R	methionine aminopeptidase	complement(188712..189506)	Escherichia coli K12	947882
NP_414711.1	CDS	rpsB	NC_000913.2	189874	190599	D	30S ribosomal subunit protein S2	189874..190599	Escherichia coli K12	947874
NP_414712.1	CDS	tsf	NC_000913.2	190857	191708	D	protein chain elongation factor EF-Ts	190857..191708	Escherichia coli K12	944866
NP_414713.1	CDS	pyrH	NC_000913.2	191855	192580	D	uridylate kinase	191855..192580	Escherichia coli K12	944989
NP_414714.1	CDS	frr	NC_000913.2	192872	193429	D	ribosome recycling factor	192872..193429	Escherichia coli K12	946122
NP_414715.1	CDS	dxr	NC_000913.2	193521	194717	D	1-deoxy-D-xylulose 5-phosphate reductoisomerase	193521..194717	Escherichia coli K12	945019
NP_414716.1	CDS	ispU	NC_000913.2	194903	195664	D	undecaprenyl pyrophosphate synthase	194903..195664	Escherichia coli K12	944874
NP_414717.2	CDS	cdsA	NC_000913.2	195677	196534	D	CDP-diglyceride synthase	195677..196534	Escherichia coli K12	944876
NP_414718.1	CDS	rseP	NC_000913.2	196546	197898	D	zinc metallopeptidase	196546..197898	Escherichia coli K12	944871
NP_414719.1	CDS	yaeT	NC_000913.2	197928	200360	D	conserved protein	197928..200360	Escherichia coli K12	944870
NP_414720.1	CDS	skp	NC_000913.2	200482	200967	D	periplasmic chaperone	200482..200967	Escherichia coli K12	944861
NP_414721.1	CDS	lpxD	NC_000913.2	200971	201996	D	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	200971..201996	Escherichia coli K12	944882
NP_414722.1	CDS	fabZ	NC_000913.2	202101	202556	D	(3R)-hydroxymyristol acyl carrier protein dehydratase	202101..202556	Escherichia coli K12	944888
NP_414723.1	CDS	lpxA	NC_000913.2	202560	203348	D	UDP-N-acetylglucosamine acetyltransferase	202560..203348	Escherichia coli K12	944849
NP_414724.1	CDS	lpxB	NC_000913.2	203348	204496	D	tetraacyldisaccharide-1-P synthase	203348..204496	Escherichia coli K12	944838
NP_414725.1	CDS	rnhB	NC_000913.2	204493	205089	D	ribonuclease HII, degrades RNA of DNA-RNA hybrids	204493..205089	Escherichia coli K12	944852
NP_414726.1	CDS	dnaE	NC_000913.2	205126	208608	D	DNA polymerase III alpha subunit	205126..208608	Escherichia coli K12	944877
NP_414727.1	CDS	accA	NC_000913.2	208621	209580	D	acetyl-CoA carboxylase, carboxytransferase, alpha subunit	208621..209580	Escherichia coli K12	944895
NP_414728.1	CDS	ldcC	NC_000913.2	209679	211820	D	lysine decarboxylase 2, constitutive	209679..211820	Escherichia coli K12	944887
NP_414729.4	CDS	yaeR	NC_000913.2	211877	212266	D	predicted lyase	211877..212266	Escherichia coli K12	944875
NP_414730.1	CDS	tilS	NC_000913.2	212331	213629	D	tRNA(Ile)-lysidine synthetase	212331..213629	Escherichia coli K12	944889
NP_414731.2	CDS	rof	NC_000913.2	213678	213932	R	modulator of Rho-dependent transcription termination	complement(213678..213932)	Escherichia coli K12	944891
YP_026160.1	CDS	yaeP	NC_000913.2	213925	214125	R	conserved protein	complement(213925..214125)	Escherichia coli K12	1450233
NP_414732.1	CDS	yaeQ	NC_000913.2	214291	214836	D	conserved protein	214291..214836	Escherichia coli K12	946809
NP_414733.1	CDS	yaeJ	NC_000913.2	214833	215255	D	conserved protein	214833..215255	Escherichia coli K12	946046
NP_414734.1	CDS	nlpE	NC_000913.2	215269	215979	D	lipoprotein involved with copper homeostasis and adhesion	215269..215979	Escherichia coli K12	946782
NP_414735.4	CDS	yaeF	NC_000913.2	216179	217003	R	predicted lipoprotein	complement(216179..217003)	Escherichia coli K12	944892
NP_414736.1	CDS	proS	NC_000913.2	217057	218775	R	prolyl-tRNA synthetase	complement(217057..218775)	Escherichia coli K12	949116
